user_id,user_name,match_id,home_goals,away_goals
24,rafa castro,537404,1,2
24,rafa castro,537405,0,0
24,rafa castro,537406,1,3
24,rafa castro,537407,2,1
24,rafa castro,537408,1,0
24,rafa castro,537409,2,1
24,rafa castro,537410,2,0
24,rafa castro,537411,3,1
24,rafa castro,537412,2,0
24,rafa castro,537413,4,0
24,rafa castro,537414,1,1
36,dl,537350,1,0
270,gazire,537327,1,0
270,gazire,537328,1,1
270,gazire,537329,0,1
270,gazire,537330,1,0
270,gazire,537332,1,2
270,gazire,537331,2,1
270,gazire,537333,1,1
270,gazire,537334,0,2
270,gazire,537335,1,2
270,gazire,537336,1,0
270,gazire,537337,0,1
270,gazire,537338,1,0
270,gazire,537339,2,1
270,gazire,537340,1,2
270,gazire,537342,2,1
270,gazire,537341,3,0
270,gazire,537344,1,0
270,gazire,537343,2,0
270,gazire,537345,1,1
270,gazire,537346,0,2
270,gazire,537348,1,0
270,gazire,537347,1,1
270,gazire,537350,1,0
270,gazire,537349,1,2
270,gazire,537351,6,0
270,gazire,537352,1,1
270,gazire,537353,2,0
270,gazire,537354,0,2
270,gazire,537356,0,2
270,gazire,537355,1,1
270,gazire,537357,2,0
270,gazire,537358,2,1
270,gazire,537359,2,1
270,gazire,537360,2,1
270,gazire,537361,2,0
270,gazire,537362,2,2
270,gazire,537363,1,1
270,gazire,537364,2,0
270,gazire,537365,1,0
270,gazire,537366,1,0
270,gazire,537368,2,1
270,gazire,537367,2,0
270,gazire,537369,4,0
270,gazire,537370,1,2
270,gazire,537371,2,0
270,gazire,537372,0,1
270,gazire,537373,2,0
270,gazire,537374,1,2
270,gazire,537391,2,1
270,gazire,537392,0,3
270,gazire,537393,4,0
270,gazire,537394,1,1
270,gazire,537395,2,1
270,gazire,537396,2,0
270,gazire,537397,2,0
270,gazire,537398,2,0
270,gazire,537399,2,1
270,gazire,537400,3,1
270,gazire,537401,4,0
270,gazire,537402,2,1
270,gazire,537403,2,0
270,gazire,537404,0,2
270,gazire,537405,2,0
270,gazire,537406,1,2
270,gazire,537407,2,1
270,gazire,537408,2,0
270,gazire,537409,1,0
270,gazire,537410,2,0
270,gazire,537411,2,1
270,gazire,537412,1,0
270,gazire,537413,3,0
270,gazire,537414,1,1
34,imperinha,537327,1,0
34,imperinha,537328,1,0
34,imperinha,537329,1,1
34,imperinha,537330,2,1
34,imperinha,537332,0,0
34,imperinha,537331,1,1
34,imperinha,537333,1,0
34,imperinha,537334,0,1
34,imperinha,537335,0,2
34,imperinha,537336,1,0
34,imperinha,537337,0,0
34,imperinha,537338,0,1
34,imperinha,537339,1,0
34,imperinha,537340,0,1
34,imperinha,537342,2,0
34,imperinha,537341,3,0
34,imperinha,537344,2,0
34,imperinha,537343,3,0
34,imperinha,537345,2,0
34,imperinha,537346,1,0
34,imperinha,537348,1,0
34,imperinha,537347,1,1
34,imperinha,537350,1,2
34,imperinha,537349,0,0
34,imperinha,537351,3,0
34,imperinha,537352,1,2
34,imperinha,537353,1,0
34,imperinha,537354,1,2
34,imperinha,537356,0,2
34,imperinha,537355,2,0
34,imperinha,537357,1,0
34,imperinha,537358,1,0
34,imperinha,537359,0,0
34,imperinha,537360,1,0
34,imperinha,537361,0,1
34,imperinha,537362,0,1
34,imperinha,537363,2,1
34,imperinha,537364,1,0
34,imperinha,537365,2,0
34,imperinha,537366,2,0
34,imperinha,537368,2,1
34,imperinha,537367,2,0
34,imperinha,537369,4,0
34,imperinha,537370,0,1
34,imperinha,537371,2,0
34,imperinha,537372,0,2
34,imperinha,537373,2,0
34,imperinha,537374,0,1
34,imperinha,537391,2,0
34,imperinha,537392,1,3
34,imperinha,537393,2,0
34,imperinha,537394,0,2
34,imperinha,537395,3,2
34,imperinha,537396,0,0
34,imperinha,537397,2,0
34,imperinha,537398,2,0
34,imperinha,537399,2,0
34,imperinha,537400,1,1
34,imperinha,537401,3,0
34,imperinha,537402,1,2
34,imperinha,537403,4,0
34,imperinha,537404,0,1
34,imperinha,537405,2,0
34,imperinha,537406,0,1
34,imperinha,537407,2,1
34,imperinha,537408,2,2
34,imperinha,537409,2,1
34,imperinha,537410,1,0
34,imperinha,537411,2,0
34,imperinha,537412,1,0
34,imperinha,537413,2,0
34,imperinha,537414,1,0
117,rafinha,537327,3,1
117,rafinha,537328,2,1
117,rafinha,537329,1,2
117,rafinha,537330,2,1
117,rafinha,537332,1,2
117,rafinha,537331,2,1
117,rafinha,537333,2,1
117,rafinha,537334,1,2
117,rafinha,537335,1,2
117,rafinha,537336,2,1
117,rafinha,537337,1,2
117,rafinha,537338,2,1
117,rafinha,537339,2,1
117,rafinha,537340,1,2
117,rafinha,537342,2,1
117,rafinha,537341,3,0
117,rafinha,537344,3,1
117,rafinha,537343,3,1
117,rafinha,537345,2,1
117,rafinha,537346,1,2
117,rafinha,537348,2,1
117,rafinha,537347,1,2
117,rafinha,537350,2,1
117,rafinha,537349,2,1
117,rafinha,537351,4,0
117,rafinha,537352,1,2
117,rafinha,537353,3,1
117,rafinha,537354,0,3
117,rafinha,537356,0,3
117,rafinha,537355,2,1
117,rafinha,537357,2,1
117,rafinha,537358,2,1
117,rafinha,537359,2,1
117,rafinha,537360,2,1
117,rafinha,537361,2,1
117,rafinha,537362,2,1
117,rafinha,537363,2,1
117,rafinha,537364,2,1
117,rafinha,537365,2,1
117,rafinha,537366,2,1
117,rafinha,537368,1,2
117,rafinha,537367,2,1
117,rafinha,537369,4,0
117,rafinha,537370,1,2
117,rafinha,537371,3,1
117,rafinha,537372,0,3
117,rafinha,537373,2,1
117,rafinha,537374,1,3
117,rafinha,537391,3,1
117,rafinha,537392,1,3
117,rafinha,537393,3,1
117,rafinha,537394,1,2
117,rafinha,537395,2,1
117,rafinha,537396,2,1
117,rafinha,537397,3,1
117,rafinha,537398,2,1
117,rafinha,537399,2,1
117,rafinha,537400,2,1
117,rafinha,537401,3,0
117,rafinha,537402,1,2
117,rafinha,537403,3,1
117,rafinha,537404,1,2
117,rafinha,537405,3,1
117,rafinha,537406,1,2
117,rafinha,537407,2,1
117,rafinha,537408,2,1
117,rafinha,537409,2,1
117,rafinha,537410,2,1
117,rafinha,537411,3,1
117,rafinha,537412,3,1
117,rafinha,537413,4,0
117,rafinha,537414,2,1
194,gugu,537327,1,0
194,gugu,537328,2,1
194,gugu,537329,0,0
194,gugu,537330,1,1
194,gugu,537332,0,1
194,gugu,537331,0,0
194,gugu,537333,1,0
194,gugu,537334,1,1
194,gugu,537335,0,2
194,gugu,537336,0,2
194,gugu,537337,1,1
194,gugu,537338,1,0
194,gugu,537339,2,1
194,gugu,537340,2,0
194,gugu,537342,2,2
194,gugu,537341,3,0
194,gugu,537344,2,1
194,gugu,537343,2,0
194,gugu,537345,1,1
194,gugu,537346,1,2
194,gugu,537348,2,2
194,gugu,537347,2,1
194,gugu,537350,3,1
194,gugu,537349,0,1
194,gugu,537351,6,0
194,gugu,537352,1,0
194,gugu,537353,3,1
194,gugu,537354,0,2
194,gugu,537356,0,1
194,gugu,537355,1,1
194,gugu,537357,2,2
194,gugu,537358,1,0
194,gugu,537359,2,2
194,gugu,537360,3,1
194,gugu,537361,2,1
194,gugu,537362,3,2
194,gugu,537363,3,1
194,gugu,537364,1,0
194,gugu,537365,3,0
194,gugu,537366,2,0
194,gugu,537368,2,2
194,gugu,537367,4,0
194,gugu,537369,5,0
194,gugu,537370,2,2
194,gugu,537371,3,2
194,gugu,537372,0,2
194,gugu,537373,2,2
194,gugu,537374,1,3
194,gugu,537391,3,1
194,gugu,537392,1,3
194,gugu,537393,4,0
194,gugu,537394,2,2
194,gugu,537395,2,3
194,gugu,537396,2,0
194,gugu,537397,3,0
194,gugu,537398,2,1
194,gugu,537399,3,1
194,gugu,537400,2,2
194,gugu,537401,2,0
194,gugu,537402,3,3
194,gugu,537403,3,1
194,gugu,537404,2,2
194,gugu,537405,2,1
194,gugu,537406,1,3
194,gugu,537407,3,2
194,gugu,537408,2,3
194,gugu,537409,3,3
194,gugu,537410,2,1
194,gugu,537411,3,1
194,gugu,537412,3,0
194,gugu,537413,4,0
194,gugu,537414,3,2
16,botinha,537327,2,0
16,botinha,537339,3,1
16,botinha,537344,4,0
33,impera,537327,2,0
33,impera,537328,1,1
33,impera,537329,0,2
33,impera,537330,2,1
33,impera,537332,0,2
33,impera,537331,2,1
33,impera,537333,2,1
33,impera,537334,0,2
33,impera,537335,0,2
33,impera,537336,2,1
33,impera,537337,1,1
33,impera,537338,2,1
33,impera,537339,2,1
33,impera,537340,0,2
33,impera,537342,1,1
33,impera,537341,2,0
33,impera,537344,2,1
33,impera,537343,2,0
33,impera,537345,2,1
33,impera,537346,1,2
33,impera,537348,2,0
33,impera,537347,1,1
33,impera,537350,1,0
33,impera,537349,2,1
33,impera,537351,2,0
33,impera,537352,0,0
33,impera,537353,2,0
33,impera,537354,0,2
33,impera,537356,0,2
33,impera,537355,2,1
33,impera,537357,2,1
33,impera,537358,1,0
33,impera,537359,2,1
33,impera,537360,1,0
33,impera,537361,2,0
33,impera,537362,1,1
33,impera,537363,2,0
33,impera,537364,1,1
33,impera,537365,2,0
33,impera,537366,1,0
33,impera,537368,1,0
33,impera,537367,2,0
33,impera,537369,2,0
33,impera,537370,0,2
33,impera,537371,2,0
33,impera,537372,0,2
33,impera,537373,2,1
33,impera,537374,1,1
33,impera,537391,2,0
33,impera,537392,0,2
33,impera,537393,1,0
33,impera,537394,1,2
33,impera,537395,2,1
33,impera,537396,2,0
33,impera,537397,2,0
33,impera,537398,2,0
33,impera,537400,0,1
33,impera,537401,2,0
33,impera,537402,1,2
33,impera,537403,2,0
33,impera,537404,1,2
33,impera,537405,2,0
33,impera,537406,1,2
33,impera,537407,2,1
33,impera,537408,0,0
33,impera,537409,2,1
33,impera,537410,2,1
33,impera,537411,2,0
33,impera,537412,2,0
33,impera,537413,2,0
33,impera,537414,2,1
33,impera,537399,2,0
25,naza,537327,2,0
25,naza,537328,2,2
25,naza,537329,1,2
25,naza,537330,2,1
25,naza,537332,1,2
25,naza,537331,1,0
25,naza,537333,1,1
25,naza,537334,0,2
25,naza,537335,0,2
25,naza,537336,2,1
25,naza,537337,0,2
25,naza,537338,2,0
25,naza,537339,2,1
25,naza,537340,0,2
25,naza,537342,2,0
25,naza,537341,5,0
25,naza,537344,3,0
25,naza,537343,4,0
25,naza,537345,1,1
25,naza,537346,1,2
25,naza,537348,2,1
25,naza,537347,1,2
25,naza,537350,1,0
25,naza,537349,1,1
25,naza,537351,4,0
25,naza,537352,1,2
25,naza,537353,2,0
25,naza,537354,0,3
25,naza,537356,0,3
25,naza,537355,2,1
25,naza,537357,3,1
25,naza,537358,2,0
25,naza,537359,2,1
25,naza,537360,2,1
25,naza,537361,2,0
25,naza,537362,1,2
25,naza,537363,3,2
25,naza,537364,2,1
25,naza,537365,2,0
25,naza,537366,2,0
25,naza,537368,2,1
25,naza,537367,3,1
25,naza,537369,5,0
25,naza,537370,1,2
25,naza,537371,3,0
25,naza,537372,0,3
25,naza,537373,2,1
25,naza,537374,0,2
25,naza,537391,2,1
25,naza,537392,0,2
25,naza,537393,3,0
25,naza,537394,2,2
25,naza,537395,1,1
25,naza,537396,3,1
25,naza,537397,2,0
25,naza,537398,2,0
25,naza,537399,2,1
25,naza,537400,2,0
25,naza,537401,4,1
25,naza,537402,2,2
25,naza,537403,4,0
