match_id,phase,home,away,result,strat_1x0,strat_2x1,strat_draw/1x0,strat_elo bolão,strat_elo tiered,strat_best expected,strat_rating,strat_lean low,strat_draw hunter,strat_crowd consensus,strat_crowd contrarian,user_14,user_15,user_16,user_17,user_18,user_19,user_20,user_21,user_22,user_24,user_25,user_26,user_27,user_28,user_30,user_31,user_32,user_33,user_34,user_35,user_36,user_37,user_38,user_39,user_40,user_117,user_189,user_190,user_191,user_192,user_193,user_194,user_267,user_269,user_270,user_273,user_1598
537380,Oitavas de Final,United States,Belgium,1x4,8,8,8,8,8,8,8,8,0,0,8,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
537381,Oitavas de Final,Argentina,Egypt,3x2,16,16,16,8,8,8,8,16,16,8,8,8,8,16,0,8,8,8,8,8,8,8,16,8,8,8,0,8,8,16,8,16,16,8,0,8,8,8,8,8,16,16,8,8,16,8,8,16
537382,Oitavas de Final,Switzerland,Colombia,0x0,0,0,0,0,0,0,0,0,12,0,24,0,0,0,0,0,0,0,12,12,0,0,12,0,0,0,0,0,0,12,0,0,0,12,0,12,0,12,12,0,12,0,12,12,0,0,0,0
537383,Quartas de Final,France,Morocco,2x0,12,12,12,12,12,12,12,12,12,12,12,12,36,12,12,36,12,12,12,12,12,12,36,12,12,12,0,0,36,24,12,24,12,0,36,12,36,36,36,0,12,12,12,0,12,36,12,0
537384,Quartas de Final,Spain,Belgium,2x1,24,36,24,24,36,24,12,24,24,24,12,36,24,12,0,24,12,12,0,24,24,36,12,36,36,0,0,24,36,36,24,12,24,0,0,36,24,24,0,24,0,0,24,0,24,12,12,0
537385,Quartas de Final,Norway,England,1x1,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,18,36,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,36,0,0,0,18,36,36,36,0,0,0,0
537386,Quartas de Final,Argentina,Switzerland,1x1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,36,0,36,0,0,0,36,0,0,0,18,0,0,0,0,0,18,0,36,0,0
537391,Grupo I,France,Senegal,3x1,2,2,2,2,2,2,2,2,2,2,0,6,4,2,2,6,4,0,6,2,2,2,2,2,0,4,4,2,4,4,2,6,2,6,2,2,6,6,2,2,0,6,6,2,2,2,6,6
537392,Grupo I,Iraq,Norway,1x4,2,2,2,2,2,2,2,2,0,2,0,2,2,2,0,4,2,2,2,2,2,2,4,2,4,2,2,6,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,4,2,2
537393,Grupo I,France,Iraq,3x0,2,2,2,2,2,2,6,2,2,6,2,6,6,6,0,2,2,2,4,2,6,6,6,6,2,2,6,6,2,2,2,2,2,2,6,6,2,2,2,6,2,2,2,2,6,2,6,2
537394,Grupo I,Senegal,Norway,2x3,4,4,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,0,0,4,0,0,2,4,4,2,4,0,4,0,2,4,4,4,0,0,0,0,0,2,0,0,2,0
537395,Grupo I,France,Norway,4x1,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,0,2,2,2,0,2,2,0,0,2,0,2,2,0,2,2,2,0,0,2,2,2,0,2,0,0,0,2,2,2,2
537396,Grupo I,Senegal,Iraq,5x0,2,2,2,2,2,2,2,2,0,2,0,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
537397,Grupo J,Argentina,Algeria,3x0,2,2,2,2,2,2,6,2,2,6,2,0,2,4,6,2,6,2,6,2,6,2,0,2,0,2,2,0,2,2,2,2,2,6,6,0,2,6,6,2,6,2,6,2,2,2,6,6
537398,Grupo J,Austria,Jordan,3x1,2,2,2,2,2,2,2,2,0,4,0,4,2,4,4,2,2,2,2,4,2,4,4,0,6,4,2,4,4,4,2,2,2,4,0,4,2,4,4,2,2,2,2,4,0,4,4,2
537399,Grupo J,Argentina,Austria,2x0,2,2,2,2,2,2,6,2,2,2,0,6,2,2,0,2,6,6,6,2,2,2,0,6,0,4,6,0,6,6,2,2,2,2,6,2,2,2,2,2,2,0,4,2,4,2,2,2
537400,Grupo J,Algeria,Jordan,2x1,4,6,0,0,0,4,4,0,0,4,0,6,6,4,6,2,2,4,4,4,6,2,0,0,2,2,0,2,0,0,6,0,4,2,4,2,6,4,0,4,6,2,0,4,0,2,2,2
537401,Grupo J,Argentina,Jordan,3x1,2,2,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,4,2,2,2,4,2,2,4,2,2,2,2,2,4,4,2,4,2,2,4
537402,Grupo J,Algeria,Austria,3x3,0,0,0,0,0,0,0,0,3,3,0,3,3,3,0,0,0,0,3,3,3,3,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,3,3,0,6,0,3,0,0,0
537403,Grupo K,Portugal,DR Congo,1x1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
537404,Grupo K,Uzbekistan,Colombia,1x3,2,2,2,2,2,2,2,2,0,4,0,4,4,0,2,6,2,4,4,4,2,2,4,4,6,4,2,2,2,2,2,4,2,2,6,2,2,0,0,2,4,4,0,0,4,4,2,2
537405,Grupo K,Portugal,Uzbekistan,5x0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,2,2,2,2,2,2,2,2,2
537406,Grupo K,DR Congo,Colombia,0x1,6,4,6,4,2,2,2,6,6,2,2,2,4,2,6,2,2,2,2,2,2,2,2,2,2,2,6,0,4,6,2,4,6,0,2,4,4,2,6,6,2,2,2,2,6,4,2,0
537407,Grupo K,Portugal,Colombia,0x0,0,0,3,3,3,0,3,3,3,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,3
537408,Grupo K,DR Congo,Uzbekistan,3x1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,2,0,0,0,0,0,6,0,0,0,0,2,0,2,2,2,0,4,0,0,0,0,0,2,4,0,0
537409,Grupo L,England,Croatia,4x2,2,2,2,2,2,2,2,2,0,2,0,2,0,2,4,4,2,0,0,2,2,0,2,2,2,0,2,0,2,2,4,2,2,2,2,2,2,0,0,0,4,2,0,0,2,2,2,2
537410,Grupo L,Ghana,Panama,1x0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,2,4,2,2,6,6,2,2,4,2,2,6,6,2,4,6,0,2,6,2,2,6,4,2,2,2,2,2,4,0,0,2,2,2
537411,Grupo L,England,Ghana,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0
537412,Grupo L,Croatia,Panama,1x0,6,4,6,6,6,6,4,6,0,2,0,2,4,6,2,2,2,2,2,6,2,2,2,2,2,6,6,2,2,6,2,2,6,2,4,4,2,2,2,2,2,2,2,4,2,6,2,4
537413,Grupo L,England,Panama,2x0,2,2,2,2,2,2,6,2,2,2,2,2,2,2,2,6,2,2,2,2,2,2,2,2,2,6,2,2,6,6,2,2,2,4,2,2,2,2,2,2,2,2,2,6,6,2,2,4
537414,Grupo L,Croatia,Ghana,2x1,4,6,4,2,2,2,2,4,4,6,2,6,6,0,0,0,0,4,2,4,0,6,4,6,0,0,4,6,6,4,4,4,4,0,6,6,6,2,6,0,0,6,4,2,4,0,2,2
